,Time,Distance,Probability
0,0,128,0.1145975443383356
1,250,128,0.723055934515689
2,500,128,0.7489768076398363
3,750,128,0.7714870395634379
4,1000,128,0.7858117326057299
5,1250,128,0.7899045020463847
6,1500,128,0.7933151432469304
7,1750,128,0.7980900409276944
8,2000,128,0.8015006821282401
9,2250,128,0.8069577080491133
10,2500,128,0.8096862210095498
11,2750,128,0.8117326057298773
12,3000,128,0.8137789904502046
13,3250,128,0.8165075034106412
14,3500,128,0.8219645293315143
15,3750,128,0.8246930422919508
16,4000,128,0.8260572987721692
17,4250,128,0.8260572987721692
18,4500,128,0.8267394270122783
19,4750,128,0.8294679399727148
20,5000,128,0.8308321964529332
