,Time,Distance,Probability
0,0,0,0.0
1,0,16,0.0
2,0,32,0.0
3,0,48,0.0024691358024691358
4,0,64,0.0049382716049382715
5,0,80,0.0049382716049382715
6,0,96,0.0049382716049382715
7,0,112,0.0049382716049382715
8,0,128,0.0049382716049382715
9,0,144,0.007407407407407408
10,0,160,0.007407407407407408
11,0,176,0.007407407407407408
12,0,192,0.007407407407407408
13,0,208,0.007407407407407408
14,0,224,0.007407407407407408
15,0,240,0.007407407407407408
16,0,256,0.007407407407407408
17,0,272,0.007407407407407408
18,25,0,0.006172839506172839
19,25,16,0.7185185185185186
20,25,32,0.7530864197530864
21,25,48,0.7962962962962963
22,25,64,0.8148148148148148
23,25,80,0.817283950617284
24,25,96,0.8197530864197531
25,25,112,0.8246913580246914
26,25,128,0.8296296296296296
27,25,144,0.8333333333333334
28,25,160,0.8333333333333334
29,25,176,0.8345679012345679
30,25,192,0.8395061728395061
31,25,208,0.8469135802469135
32,25,224,0.8481481481481481
33,25,240,0.8506172839506173
34,25,256,0.8506172839506173
35,25,272,0.8506172839506173
36,50,0,0.025925925925925925
37,50,16,0.7518518518518519
38,50,32,0.7864197530864198
39,50,48,0.8320987654320988
40,50,64,0.8506172839506173
41,50,80,0.8530864197530864
42,50,96,0.8567901234567902
43,50,112,0.8592592592592593
44,50,128,0.8641975308641975
45,50,144,0.8691358024691358
46,50,160,0.8716049382716049
47,50,176,0.8728395061728395
48,50,192,0.8765432098765432
49,50,208,0.8827160493827161
50,50,224,0.8851851851851852
51,50,240,0.8851851851851852
52,50,256,0.8851851851851852
53,50,272,0.8851851851851852
54,75,0,0.03580246913580247
55,75,16,0.7666666666666667
56,75,32,0.808641975308642
57,75,48,0.8604938271604938
58,75,64,0.8814814814814815
59,75,80,0.8851851851851852
60,75,96,0.8901234567901235
61,75,112,0.8925925925925926
62,75,128,0.8975308641975308
63,75,144,0.9
64,75,160,0.9024691358024691
65,75,176,0.9024691358024691
66,75,192,0.9074074074074074
67,75,208,0.9123456790123456
68,75,224,0.9148148148148149
69,75,240,0.9148148148148149
70,75,256,0.9160493827160494
71,75,272,0.917283950617284
72,100,0,0.03827160493827161
73,100,16,0.7703703703703704
74,100,32,0.8160493827160494
75,100,48,0.8666666666666667
76,100,64,0.8876543209876543
77,100,80,0.891358024691358
78,100,96,0.8962962962962963
79,100,112,0.9
80,100,128,0.9037037037037037
81,100,144,0.9061728395061729
82,100,160,0.908641975308642
83,100,176,0.908641975308642
84,100,192,0.9123456790123456
85,100,208,0.917283950617284
86,100,224,0.9209876543209876
87,100,240,0.9209876543209876
88,100,256,0.9209876543209876
89,100,272,0.9222222222222223
90,125,0,0.03950617283950617
91,125,16,0.7716049382716049
92,125,32,0.817283950617284
93,125,48,0.8679012345679012
94,125,64,0.8888888888888888
95,125,80,0.8938271604938272
96,125,96,0.8987654320987655
97,125,112,0.9024691358024691
98,125,128,0.9061728395061729
99,125,144,0.9098765432098765
100,125,160,0.9111111111111111
101,125,176,0.9111111111111111
102,125,192,0.9160493827160494
103,125,208,0.9222222222222223
104,125,224,0.9234567901234568
105,125,240,0.9234567901234568
106,125,256,0.9234567901234568
107,125,272,0.9246913580246914
108,150,0,0.040740740740740744
109,150,16,0.7765432098765432
110,150,32,0.8234567901234567
111,150,48,0.8765432098765432
112,150,64,0.8975308641975308
113,150,80,0.9037037037037037
114,150,96,0.9074074074074074
115,150,112,0.9098765432098765
116,150,128,0.9135802469135802
117,150,144,0.917283950617284
118,150,160,0.9185185185185185
119,150,176,0.9197530864197531
120,150,192,0.9222222222222223
121,150,208,0.9259259259259259
122,150,224,0.9271604938271605
123,150,240,0.9271604938271605
124,150,256,0.928395061728395
125,150,272,0.928395061728395
126,175,0,0.044444444444444446
127,175,16,0.782716049382716
128,175,32,0.8308641975308642
129,175,48,0.8827160493827161
130,175,64,0.9037037037037037
131,175,80,0.9111111111111111
132,175,96,0.9148148148148149
133,175,112,0.9185185185185185
134,175,128,0.9222222222222223
135,175,144,0.9259259259259259
136,175,160,0.9271604938271605
137,175,176,0.9296296296296296
138,175,192,0.9320987654320988
139,175,208,0.9358024691358025
140,175,224,0.9358024691358025
141,175,240,0.9358024691358025
142,175,256,0.937037037037037
143,175,272,0.937037037037037
144,200,0,0.04691358024691358
145,200,16,0.7888888888888889
146,200,32,0.837037037037037
147,200,48,0.8888888888888888
148,200,64,0.908641975308642
149,200,80,0.9160493827160494
150,200,96,0.9209876543209876
151,200,112,0.9246913580246914
152,200,128,0.928395061728395
153,200,144,0.9320987654320988
154,200,160,0.9358024691358025
155,200,176,0.9358024691358025
156,200,192,0.937037037037037
157,200,208,0.9395061728395062
158,200,224,0.9395061728395062
159,200,240,0.9395061728395062
160,200,256,0.9395061728395062
161,200,272,0.9395061728395062
162,225,0,0.04691358024691358
163,225,16,0.7901234567901234
164,225,32,0.8382716049382716
165,225,48,0.8901234567901235
166,225,64,0.9098765432098765
167,225,80,0.917283950617284
168,225,96,0.9222222222222223
169,225,112,0.9271604938271605
170,225,128,0.9320987654320988
171,225,144,0.9358024691358025
172,225,160,0.9382716049382716
173,225,176,0.9382716049382716
174,225,192,0.9395061728395062
175,225,208,0.9419753086419753
176,225,224,0.9419753086419753
177,225,240,0.9419753086419753
178,225,256,0.9419753086419753
179,225,272,0.9419753086419753
180,250,0,0.04691358024691358
181,250,16,0.7901234567901234
182,250,32,0.8382716049382716
183,250,48,0.8901234567901235
184,250,64,0.9098765432098765
185,250,80,0.917283950617284
186,250,96,0.9234567901234568
187,250,112,0.9271604938271605
188,250,128,0.9345679012345679
189,250,144,0.9395061728395062
190,250,160,0.9419753086419753
191,250,176,0.9419753086419753
192,250,192,0.9432098765432099
193,250,208,0.945679012345679
194,250,224,0.945679012345679
195,250,240,0.9469135802469136
196,250,256,0.9469135802469136
197,250,272,0.9469135802469136
198,275,0,0.04691358024691358
199,275,16,0.7901234567901234
200,275,32,0.8382716049382716
201,275,48,0.8901234567901235
202,275,64,0.9098765432098765
203,275,80,0.9185185185185185
204,275,96,0.9234567901234568
205,275,112,0.9271604938271605
206,275,128,0.9358024691358025
207,275,144,0.9407407407407408
208,275,160,0.9444444444444444
209,275,176,0.9444444444444444
210,275,192,0.945679012345679
211,275,208,0.9493827160493827
212,275,224,0.9493827160493827
213,275,240,0.9493827160493827
214,275,256,0.9493827160493827
215,275,272,0.9493827160493827
216,300,0,0.04691358024691358
217,300,16,0.7901234567901234
218,300,32,0.8395061728395061
219,300,48,0.891358024691358
220,300,64,0.9123456790123456
221,300,80,0.9197530864197531
222,300,96,0.9246913580246914
223,300,112,0.928395061728395
224,300,128,0.9395061728395062
225,300,144,0.9432098765432099
226,300,160,0.945679012345679
227,300,176,0.945679012345679
228,300,192,0.9469135802469136
229,300,208,0.9493827160493827
230,300,224,0.9493827160493827
231,300,240,0.9493827160493827
232,300,256,0.9493827160493827
233,300,272,0.9493827160493827
234,325,0,0.04691358024691358
235,325,16,0.7913580246913581
236,325,32,0.8407407407407408
237,325,48,0.8925925925925926
238,325,64,0.9148148148148149
239,325,80,0.9222222222222223
240,325,96,0.928395061728395
241,325,112,0.9320987654320988
242,325,128,0.9419753086419753
243,325,144,0.945679012345679
244,325,160,0.9481481481481482
245,325,176,0.9481481481481482
246,325,192,0.9493827160493827
247,325,208,0.9518518518518518
248,325,224,0.9518518518518518
249,325,240,0.9518518518518518
250,325,256,0.9518518518518518
251,325,272,0.9518518518518518
252,350,0,0.04691358024691358
253,350,16,0.7913580246913581
254,350,32,0.8407407407407408
255,350,48,0.8925925925925926
256,350,64,0.9160493827160494
257,350,80,0.9234567901234568
258,350,96,0.928395061728395
259,350,112,0.9320987654320988
260,350,128,0.9419753086419753
261,350,144,0.945679012345679
262,350,160,0.9481481481481482
263,350,176,0.9481481481481482
264,350,192,0.9493827160493827
265,350,208,0.9518518518518518
266,350,224,0.9518518518518518
267,350,240,0.9518518518518518
268,350,256,0.9518518518518518
269,350,272,0.9518518518518518
270,375,0,0.04691358024691358
271,375,16,0.7913580246913581
272,375,32,0.8419753086419753
273,375,48,0.8938271604938272
274,375,64,0.9160493827160494
275,375,80,0.9234567901234568
276,375,96,0.928395061728395
277,375,112,0.9320987654320988
278,375,128,0.9419753086419753
279,375,144,0.945679012345679
280,375,160,0.9481481481481482
281,375,176,0.9481481481481482
282,375,192,0.9493827160493827
283,375,208,0.9518518518518518
284,375,224,0.9518518518518518
285,375,240,0.9518518518518518
