,Time,Distance,Probability
0,0,0,0.0
1,0,16,0.017857142857142856
2,0,32,0.02142857142857143
3,0,48,0.02261904761904762
4,0,64,0.02738095238095238
5,0,80,0.0380952380952381
6,0,96,0.0630952380952381
7,0,112,0.08928571428571429
8,0,128,0.11190476190476191
9,0,144,0.125
10,0,160,0.12976190476190477
11,0,176,0.13214285714285715
12,0,192,0.13690476190476192
13,0,208,0.1392857142857143
14,0,224,0.14523809523809525
15,0,240,0.14642857142857144
16,0,256,0.1488095238095238
17,0,272,0.15476190476190477
18,25,0,0.02976190476190476
19,25,16,0.1630952380952381
20,25,32,0.175
21,25,48,0.17857142857142858
22,25,64,0.1869047619047619
23,25,80,0.20833333333333334
24,25,96,0.24047619047619048
25,25,112,0.27380952380952384
26,25,128,0.30714285714285716
27,25,144,0.3238095238095238
28,25,160,0.33214285714285713
29,25,176,0.3357142857142857
30,25,192,0.3476190476190476
31,25,208,0.3523809523809524
32,25,224,0.3595238095238095
33,25,240,0.36428571428571427
34,25,256,0.36666666666666664
35,25,272,0.375
36,50,0,0.03333333333333333
37,50,16,0.275
38,50,32,0.2916666666666667
39,50,48,0.2976190476190476
40,50,64,0.3107142857142857
41,50,80,0.3345238095238095
42,50,96,0.36904761904761907
43,50,112,0.40595238095238095
44,50,128,0.44047619047619047
45,50,144,0.4583333333333333
46,50,160,0.4666666666666667
47,50,176,0.47023809523809523
48,50,192,0.48214285714285715
49,50,208,0.4869047619047619
50,50,224,0.49404761904761907
51,50,240,0.4988095238095238
52,50,256,0.5011904761904762
53,50,272,0.5095238095238095
54,75,0,0.09642857142857143
55,75,16,0.35833333333333334
56,75,32,0.3761904761904762
57,75,48,0.3821428571428571
58,75,64,0.3964285714285714
59,75,80,0.42023809523809524
60,75,96,0.45476190476190476
61,75,112,0.49166666666666664
62,75,128,0.5261904761904762
63,75,144,0.5428571428571428
64,75,160,0.5511904761904762
65,75,176,0.555952380952381
66,75,192,0.5678571428571428
67,75,208,0.5726190476190476
68,75,224,0.5797619047619048
69,75,240,0.5845238095238096
70,75,256,0.5869047619047619
71,75,272,0.5952380952380952
72,100,0,0.11785714285714285
73,100,16,0.3880952380952381
74,100,32,0.40714285714285714
75,100,48,0.41309523809523807
76,100,64,0.42857142857142855
77,100,80,0.4523809523809524
78,100,96,0.4869047619047619
79,100,112,0.525
80,100,128,0.5607142857142857
81,100,144,0.5785714285714286
82,100,160,0.5869047619047619
83,100,176,0.5916666666666667
84,100,192,0.6035714285714285
85,100,208,0.6083333333333333
86,100,224,0.6154761904761905
87,100,240,0.6202380952380953
88,100,256,0.6226190476190476
89,100,272,0.6309523809523809
90,125,0,0.13452380952380952
91,125,16,0.4107142857142857
92,125,32,0.430952380952381
93,125,48,0.4380952380952381
94,125,64,0.4523809523809524
95,125,80,0.47619047619047616
96,125,96,0.5107142857142857
97,125,112,0.5464285714285714
98,125,128,0.5833333333333334
99,125,144,0.6
100,125,160,0.6083333333333333
101,125,176,0.6130952380952381
102,125,192,0.625
103,125,208,0.6297619047619047
104,125,224,0.6369047619047619
105,125,240,0.6416666666666667
106,125,256,0.6440476190476191
107,125,272,0.6523809523809524
108,150,0,0.15595238095238095
109,150,16,0.43452380952380953
110,150,32,0.45595238095238094
111,150,48,0.4630952380952381
112,150,64,0.4773809523809524
113,150,80,0.5035714285714286
114,150,96,0.5380952380952381
115,150,112,0.5726190476190476
116,150,128,0.6095238095238096
117,150,144,0.6261904761904762
118,150,160,0.6345238095238095
119,150,176,0.6404761904761904
120,150,192,0.6523809523809524
121,150,208,0.6571428571428571
122,150,224,0.6642857142857143
123,150,240,0.669047619047619
124,150,256,0.6714285714285714
125,150,272,0.6797619047619048
126,175,0,0.16547619047619047
127,175,16,0.4392857142857143
128,175,32,0.4607142857142857
129,175,48,0.46785714285714286
130,175,64,0.48214285714285715
131,175,80,0.5083333333333333
132,175,96,0.544047619047619
133,175,112,0.580952380952381
134,175,128,0.6178571428571429
135,175,144,0.6345238095238095
136,175,160,0.6428571428571429
137,175,176,0.6488095238095238
138,175,192,0.6607142857142857
139,175,208,0.6654761904761904
140,175,224,0.6726190476190477
141,175,240,0.6773809523809524
142,175,256,0.6797619047619048
143,175,272,0.6880952380952381
144,200,0,0.16785714285714284
145,200,16,0.4452380952380952
146,200,32,0.4666666666666667
147,200,48,0.4738095238095238
148,200,64,0.4880952380952381
149,200,80,0.5166666666666667
150,200,96,0.5511904761904762
151,200,112,0.5880952380952381
152,200,128,0.6238095238095238
153,200,144,0.6416666666666667
154,200,160,0.65
155,200,176,0.655952380952381
156,200,192,0.6678571428571428
157,200,208,0.6726190476190477
158,200,224,0.6797619047619048
159,200,240,0.6845238095238095
160,200,256,0.6869047619047619
161,200,272,0.6952380952380952
162,225,0,0.18214285714285713
163,225,16,0.4511904761904762
164,225,32,0.4726190476190476
165,225,48,0.48095238095238096
166,225,64,0.49523809523809526
167,225,80,0.5238095238095238
168,225,96,0.5583333333333333
169,225,112,0.5952380952380952
170,225,128,0.6309523809523809
171,225,144,0.6488095238095238
172,225,160,0.6571428571428571
173,225,176,0.6630952380952381
