,Time,Distance,Probability
0,0,0,0.0038560411311053984
1,0,16,0.015424164524421594
2,0,32,0.028277634961439587
3,0,48,0.055269922879177376
4,0,64,0.08868894601542417
5,0,80,0.10539845758354756
6,0,96,0.11311053984575835
7,0,112,0.12724935732647816
8,0,128,0.14138817480719795
9,0,144,0.16966580976863754
10,0,160,0.17352185089974292
11,0,176,0.17609254498714652
12,0,192,0.17866323907455012
13,0,208,0.18251928020565553
14,0,224,0.18380462724935734
15,0,240,0.18380462724935734
16,0,256,0.18637532133676094
17,0,272,0.18637532133676094
18,25,0,0.14652956298200515
19,25,16,0.18508997429305912
20,25,32,0.2185089974293059
21,25,48,0.2506426735218509
22,25,64,0.27892030848329047
23,25,80,0.2969151670951157
24,25,96,0.3046272493573265
25,25,112,0.32005141388174807
26,25,128,0.33547557840616965
27,25,144,0.36889460154241643
28,25,160,0.37275064267352187
29,25,176,0.37532133676092544
30,25,192,0.38303341902313626
31,25,208,0.390745501285347
32,25,224,0.39331619537275064
33,25,240,0.39460154241645246
34,25,256,0.397172236503856
35,25,272,0.40359897172236503
36,50,0,0.18123393316195371
37,50,16,0.2403598971722365
38,50,32,0.29562982005141386
39,50,48,0.34190231362467866
40,50,64,0.37789203084832906
41,50,80,0.39845758354755784
42,50,96,0.4087403598971722
43,50,112,0.4267352185089974
44,50,128,0.44473007712082263
45,50,144,0.4781491002570694
46,50,160,0.4845758354755784
47,50,176,0.4897172236503856
48,50,192,0.4987146529562982
49,50,208,0.506426735218509
50,50,224,0.5089974293059126
51,50,240,0.512853470437018
52,50,256,0.5167095115681234
53,50,272,0.5218508997429306
54,75,0,0.2133676092544987
55,75,16,0.2827763496143959
56,75,32,0.34190231362467866
57,75,48,0.39331619537275064
58,75,64,0.43573264781491
59,75,80,0.45758354755784064
60,75,96,0.4704370179948586
61,75,112,0.4884318766066838
62,75,128,0.5077120822622108
63,75,144,0.5411311053984575
64,75,160,0.5488431876606684
65,75,176,0.5539845758354756
66,75,192,0.5642673521850899
67,75,208,0.570694087403599
68,75,224,0.5745501285347043
69,75,240,0.577120822622108
70,75,256,0.5809768637532133
71,75,272,0.5861182519280206
72,100,0,0.23136246786632392
73,100,16,0.29562982005141386
74,100,32,0.35218508997429304
75,100,48,0.40488431876606684
76,100,64,0.448586118251928
77,100,80,0.4704370179948586
78,100,96,0.4845758354755784
79,100,112,0.5038560411311054
80,100,128,0.5244215938303342
81,100,144,0.5578406169665809
82,100,160,0.5655526992287918
83,100,176,0.5732647814910026
84,100,192,0.583547557840617
85,100,208,0.5912596401028277
86,100,224,0.5938303341902313
87,100,240,0.596401028277635
88,100,256,0.6002570694087404
89,100,272,0.6041131105398457
90,125,0,0.2480719794344473
91,125,16,0.3161953727506427
92,125,32,0.37017994858611825
93,125,48,0.4241645244215938
94,125,64,0.4640102827763496
95,125,80,0.48586118251928023
96,125,96,0.5
97,125,112,0.519280205655527
