,2,4,8,12,16,24
0,104.0,4.203125,1.625,1.203125,1.0625,1.015625
1,123.0,4.734375,1.53125,1.25,1.125,1.015625
2,61.0,3.8125,1.609375,1.25,1.109375,1.015625
3,17.0,2.34375,1.21875,1.015625,1.015625,1.015625
4,117.0,4.5,1.75,1.40625,1.203125,1.078125
5,28.0,2.8125,1.40625,1.109375,1.015625,1.015625
6,22.0,2.0,1.015625,1.015625,1.015625,1.015625
7,79.0,4.0,1.671875,1.1875,1.0625,1.015625
8,122.0,4.078125,1.203125,1.015625,1.015625,1.015625
