,"2,DEFAULT","2,FOUR_KB","2,SIXTEEN_KB","2,SIXTY_FOUR_KB","4,DEFAULT","4,FOUR_KB","4,SIXTEEN_KB","4,SIXTY_FOUR_KB","8,DEFAULT","8,FOUR_KB","8,SIXTEEN_KB","8,SIXTY_FOUR_KB","12,DEFAULT","12,FOUR_KB","12,SIXTEEN_KB","12,SIXTY_FOUR_KB","16,DEFAULT","16,FOUR_KB","16,SIXTEEN_KB","16,SIXTY_FOUR_KB","24,DEFAULT","24,FOUR_KB","24,SIXTEEN_KB","24,SIXTY_FOUR_KB"
0,104.0,104.0,104.0,104.0,4.203125,4.203125,4.203125,4.203125,1.625,1.625,1.625,1.625,1.203125,1.203125,1.25,1.203125,1.0625,1.015625,1.015625,1.015625,1.015625,1.015625,1.015625,1.015625
1,123.0,123.0,123.0,123.0,4.734375,4.734375,4.734375,4.8125,1.53125,1.53125,1.53125,1.5,1.25,1.25,1.25,1.25,1.125,1.125,1.15625,1.125,1.015625,1.015625,1.015625,1.015625
2,61.0,61.0,68.0,68.0,3.8125,3.8125,3.0,4.0,1.609375,1.609375,1.40625,1.484375,1.25,1.25,1.03125,1.203125,1.109375,1.109375,1.015625,1.09375,1.015625,1.015625,1.015625,1.015625
3,17.0,17.0,17.0,18.0,2.34375,2.0,2.0,2.34375,1.21875,1.125,1.0625,1.34375,1.015625,1.015625,1.015625,1.125,1.015625,1.015625,1.015625,1.015625,1.015625,1.015625,1.015625,1.015625
4,117.0,117.0,134.0,155.0,4.5,4.203125,3.625,4.0,1.75,1.75,1.625,1.5,1.40625,1.34375,1.25,1.203125,1.203125,1.15625,1.0625,1.125,1.078125,1.0625,1.015625,1.015625
5,28.0,28.0,29.0,30.0,2.8125,2.8125,3.0,3.0,1.40625,1.40625,1.25,1.5,1.109375,1.109375,1.046875,1.21875,1.015625,1.015625,1.015625,1.09375,1.015625,1.015625,1.015625,1.015625
6,22.0,22.0,22.0,22.0,2.0,2.0,2.0,2.671875,1.015625,1.015625,1.015625,1.34375,1.015625,1.015625,1.015625,1.109375,1.015625,1.015625,1.015625,1.015625,1.015625,1.015625,1.015625,1.015625
7,79.0,79.0,81.0,92.0,4.0,4.0,2.0,3.0,1.671875,1.5,1.203125,1.40625,1.1875,1.125,1.03125,1.125,1.0625,1.03125,1.015625,1.015625,1.015625,1.015625,1.015625,1.015625
8,122.0,122.0,122.0,122.0,4.078125,4.078125,4.078125,4.078125,1.203125,1.203125,1.25,1.40625,1.015625,1.015625,1.015625,1.109375,1.015625,1.015625,1.015625,1.015625,1.015625,1.015625,1.015625,1.015625
