disk,cpu_id,sequence_number,timestamp,process_id,action,operation,sector_number,request_size,process_name
"8,16",3,67,0.334651321,2603,I,R,12117904,256,[java]
"8,16",3,68,0.334669327,2603,D,R,12117904,256,[java]
"8,16",3,70,0.341095818,0,C,R,12117904,256,[0]
"8,16",3,74,0.341374794,2603,I,R,12312088,256,[java]
"8,16",3,75,0.341379976,2603,D,R,12312088,256,[java]
"8,16",3,77,0.354742027,0,C,R,12312088,256,[0]
"8,16",3,81,0.354825877,2603,I,R,12312344,256,[java]
"8,16",3,82,0.35482961,2603,D,R,12312344,256,[java]
"8,16",3,84,0.355651536,0,C,R,12312344,256,[0]
"8,16",2,116,0.359956313,2602,I,R,19829208,256,[java]
"8,16",2,117,0.359967741,2602,D,R,19829208,256,[java]
"8,16",2,119,0.371800029,0,C,R,19829208,256,[0]
"8,16",2,123,0.372018086,2602,I,R,19862328,256,[java]
"8,16",2,124,0.372022728,2602,D,R,19862328,256,[java]
"8,16",2,126,0.381918282,0,C,R,19862328,256,[0]
"8,16",2,130,0.381991258,2602,I,R,19862584,256,[java]
"8,16",2,131,0.381995282,2602,D,R,19862584,256,[java]
"8,16",2,136,0.382056115,2602,I,R,19862840,256,[java]
"8,16",2,138,0.382059064,2602,D,R,19862840,256,[java]
"8,16",2,139,0.383036704,0,C,R,19862584,256,[0]
"8,16",2,140,0.38331288,2602,C,R,19862840,256,[0]
"8,16",3,88,0.38794454,2603,I,R,12154936,256,[java]
"8,16",3,89,0.387956715,2603,D,R,12154936,256,[java]
"8,16",3,91,0.399998789,0,C,R,12154936,256,[0]
"8,16",3,95,0.40020045,2603,I,R,13981096,256,[java]
"8,16",3,96,0.400204703,2603,D,R,13981096,256,[java]
"8,16",3,98,0.418490556,2523,C,R,13981096,256,[0]
"8,16",3,102,0.418569675,2603,I,R,13981352,256,[java]
"8,16",3,103,0.418573769,2603,D,R,13981352,256,[java]
"8,16",3,108,0.418634696,2603,I,R,13981608,256,[java]
"8,16",3,110,0.418637255,2603,D,R,13981608,256,[java]
"8,16",3,111,0.419451829,2523,C,R,13981352,256,[0]
"8,16",3,112,0.419922441,2603,C,R,13981608,256,[0]
"8,16",3,116,0.422068602,2603,I,R,19510648,256,[java]
"8,16",3,117,0.422074267,2603,D,R,19510648,256,[java]
"8,16",3,119,0.438515809,2523,C,R,19510648,256,[0]
"8,16",3,123,0.438696622,2603,I,R,18282152,256,[java]
"8,16",3,124,0.438700526,2603,D,R,18282152,256,[java]
"8,16",3,126,0.449512782,2523,C,R,18282152,256,[0]
"8,16",3,130,0.449624842,2603,I,R,18282408,256,[java]
"8,16",3,131,0.449628379,2603,D,R,18282408,256,[java]
"8,16",3,136,0.449681878,2603,I,R,18282664,256,[java]
"8,16",3,138,0.449684384,2603,D,R,18282664,256,[java]
"8,16",3,139,0.450485286,2523,C,R,18282408,256,[0]
"8,16",3,140,0.451124641,2603,C,R,18282664,256,[0]
"8,16",3,144,0.456415167,2603,I,R,12119136,256,[java]
"8,16",3,145,0.456425227,2603,D,R,12119136,256,[java]
"8,16",3,147,0.461329862,2523,C,R,12119136,256,[0]
"8,16",3,151,0.461549949,2603,I,R,12355544,256,[java]
"8,16",3,152,0.46155441,2603,D,R,12355544,256,[java]
"8,16",3,154,0.470063385,2523,C,R,12355544,256,[0]
"8,16",3,158,0.470139905,2603,I,R,12355800,256,[java]
"8,16",3,159,0.470144147,2603,D,R,12355800,256,[java]
"8,16",3,164,0.470213768,2603,I,R,12356056,256,[java]
"8,16",3,166,0.470216341,2603,D,R,12356056,256,[java]
"8,16",3,167,0.472052717,2523,C,R,12355800,256,[0]
"8,16",3,168,0.473003119,2523,C,R,12356056,256,[0]
"8,16",3,172,0.47953571,2603,I,R,19510352,256,[java]
"8,16",3,173,0.479541422,2603,D,R,19510352,256,[java]
"8,16",3,175,0.480231907,2523,C,R,19510352,256,[0]
"8,16",0,60,0.480356156,2603,I,R,18271488,256,[java]
"8,16",0,61,0.480360494,2603,D,R,18271488,256,[java]
"8,16",0,63,0.486310311,0,C,R,18271488,256,[0]
"8,16",0,67,0.486386927,2603,I,R,18271744,256,[java]
"8,16",0,68,0.486391059,2603,D,R,18271744,256,[java]
"8,16",0,73,0.486448427,2603,I,R,18272000,256,[java]
"8,16",0,75,0.486451099,2603,D,R,18272000,256,[java]
"8,16",0,76,0.487240506,0,C,R,18271744,256,[0]
"8,16",0,77,0.487889269,0,C,R,18272000,256,[0]
"8,16",0,81,0.490036205,2603,I,R,19511008,256,[java]
"8,16",0,82,0.490042144,2603,D,R,19511008,256,[java]
"8,16",0,84,0.506488372,0,C,R,19511008,256,[0]
"8,16",0,88,0.506675364,2603,I,R,18294840,256,[java]
"8,16",0,89,0.506683375,2603,D,R,18294840,256,[java]
"8,16",0,91,0.520416784,0,C,R,18294840,256,[0]
"8,16",0,95,0.520499576,2603,I,R,18295096,256,[java]
"8,16",0,96,0.520503461,2603,D,R,18295096,256,[java]
"8,16",0,101,0.52055989,2603,I,R,18295352,256,[java]
"8,16",0,103,0.520562445,2603,D,R,18295352,256,[java]
"8,16",0,104,0.521370615,0,C,R,18295096,256,[0]
"8,16",0,105,0.521930768,2602,C,R,18295352,256,[0]
"8,16",0,109,0.524497808,2603,I,R,19498856,256,[java]
"8,16",0,110,0.524503054,2603,D,R,19498856,256,[java]
"8,16",0,112,0.543315565,0,C,R,19498856,256,[0]
"8,16",0,116,0.543530449,2603,I,R,17061896,256,[java]
"8,16",0,117,0.543534735,2603,D,R,17061896,256,[java]
"8,16",0,119,0.553878117,0,C,R,17061896,256,[0]
"8,16",0,123,0.553941705,2603,I,R,17062152,256,[java]
"8,16",0,124,0.553945308,2603,D,R,17062152,256,[java]
"8,16",0,129,0.554000399,2603,I,R,17062408,256,[java]
"8,16",0,131,0.554002877,2603,D,R,17062408,256,[java]
"8,16",0,132,0.554904369,0,C,R,17062152,256,[0]
"8,16",0,133,0.555429061,2602,C,R,17062408,256,[0]
"8,16",0,137,0.559134099,2602,I,R,19503000,256,[java]
"8,16",0,138,0.55914589,2602,D,R,19503000,256,[java]
"8,16",0,140,0.575095104,0,C,R,19503000,256,[0]
"8,16",0,144,0.575284604,2602,I,R,17601784,256,[java]
"8,16",0,145,0.575288394,2602,D,R,17601784,256,[java]
"8,16",0,147,0.585561426,0,C,R,17601784,256,[0]
"8,16",0,151,0.585619127,2602,I,R,17602040,256,[java]
"8,16",0,152,0.585622383,2602,D,R,17602040,256,[java]
"8,16",0,157,0.585675343,2602,I,R,17602296,256,[java]
"8,16",0,159,0.585677879,2602,D,R,17602296,256,[java]
"8,16",0,160,0.586470484,0,C,R,17602040,256,[0]
